                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84934,                  2.311,                 1.2433,                0.70386,                0.75963,                0.76863,                0.59817,                0.69107,                 1.8223,                 1.1057,             0.00025722,             0.00025722,             0.00025722
                      2,                0.75746,                 1.4241,                 1.1468,                0.59124,                0.73638,                0.69982,                0.53934,                0.68267,                 2.6184,                 1.0666,             0.00051826,             0.00051826,             0.00051826
                      3,                0.90678,                 1.3955,                  1.209,                 0.6503,                0.62382,                0.63505,                0.48223,                 0.8417,                 2.5543,                 1.2456,             0.00076855,             0.00076855,             0.00076855
                      4,                0.90774,                 1.2977,                 1.2229,                0.49004,                 0.5681,                0.50825,                0.34183,                0.95625,                 3.3961,                 1.3885,              0.0010081,              0.0010081,              0.0010081
                      5,                0.89871,                 1.2428,                 1.2135,                0.42985,                0.62343,                0.46887,                0.33487,                 1.0683,                 4.1833,                 1.4542,              0.0012369,              0.0012369,              0.0012369
                      6,                0.94379,                 1.2247,                  1.229,                0.45371,                0.39065,                0.36781,                0.23246,                 1.4664,                 2.5232,                 1.7731,              0.0012875,              0.0012875,              0.0012875
                      7,                0.97723,                  1.218,                 1.2666,                0.59224,                0.52867,                0.51696,                0.34226,                   1.03,                 2.4462,                  1.374,              0.0012592,              0.0012592,              0.0012592
                      8,                0.91743,                 1.1168,                 1.2282,                 0.4663,                0.50982,                0.48999,                0.30504,                 1.3131,                 2.5087,                 1.5848,              0.0012309,              0.0012309,              0.0012309
                      9,                0.88159,                 1.0888,                  1.196,                0.68379,                0.66228,                0.71262,                0.46901,                 1.0388,                 3.0666,                 1.3429,              0.0012026,              0.0012026,              0.0012026
                     10,                0.91798,                 1.0301,                 1.2175,                 0.6646,                0.65408,                0.68513,                0.49039,                 1.0084,                 1.9752,                 1.3641,              0.0011744,              0.0011744,              0.0011744
